timestep,free_energy,timestamp
0,-0.7103191506309944,1770043464.8078122
1,-0.1369872330101023,1770043464.809935
2,-0.021920310147460098,1770043464.816229
3,-0.003498675845454269,1770043464.817927
4,-0.0005605704458657712,1770043464.819493
5,-8.95444857622607e-05,1770043465.482058
6,-1.4491410568417962e-05,1770043465.483969
7,-2.6821648031472023e-06,1770043465.485635
8,-8.585958539697458e-07,1770043465.4871979
9,-5.872546835483661e-07,1770043465.488791
10,-5.487939287451837e-07,1770043466.0781682
11,-5.434705840912102e-07,1770043466.079912
12,-5.427374116795392e-07,1770043466.081554
13,-5.426365030647418e-07,1770043466.0832481
14,-5.42622616839239e-07,1770043466.085004
15,-5.426207054792798e-07,1770043466.698849
16,-5.426204425784675e-07,1770043466.700756
17,-5.426204061631523e-07,1770043466.702378
18,-5.426204010561264e-07,1770043466.703927
19,-5.42620400167948e-07,1770043466.7054799
